timestamp,price
2025-07-05T00:00:00Z,100.00
2025-07-05T00:00:01Z,100.05
2025-07-05T00:00:02Z,100.10
2025-07-05T00:00:03Z,100.15
2025-07-05T00:00:04Z,100.20
2025-07-05T00:00:05Z,100.25
2025-07-05T00:00:06Z,100.30
2025-07-05T00:00:07Z,100.35
2025-07-05T00:00:08Z,100.40
2025-07-05T00:00:09Z,100.45
2025-07-05T00:00:10Z,100.50
2025-07-05T00:00:11Z,100.55
2025-07-05T00:00:12Z,100.60
2025-07-05T00:00:13Z,100.65
2025-07-05T00:00:14Z,100.70
2025-07-05T00:00:15Z,100.75
2025-07-05T00:00:16Z,100.80
2025-07-05T00:00:17Z,100.85
2025-07-05T00:00:18Z,100.90
2025-07-05T00:00:19Z,100.95
2025-07-05T00:00:20Z,101.00
2025-07-05T00:00:21Z,101.05
2025-07-05T00:00:22Z,101.10
2025-07-05T00:00:23Z,101.15
2025-07-05T00:00:24Z,101.20
2025-07-05T00:00:25Z,101.25
2025-07-05T00:00:26Z,101.30
2025-07-05T00:00:27Z,101.35
2025-07-05T00:00:28Z,101.40
2025-07-05T00:00:29Z,101.45
2025-07-05T00:00:30Z,101.50
2025-07-05T00:00:31Z,101.55
2025-07-05T00:00:32Z,101.60
2025-07-05T00:00:33Z,101.65
2025-07-05T00:00:34Z,101.70
2025-07-05T00:00:35Z,101.75
2025-07-05T00:00:36Z,101.80
2025-07-05T00:00:37Z,101.85
2025-07-05T00:00:38Z,101.90
2025-07-05T00:00:39Z,101.95
2025-07-05T00:00:40Z,102.00
2025-07-05T00:00:41Z,102.05
2025-07-05T00:00:42Z,102.10
2025-07-05T00:00:43Z,102.15
2025-07-05T00:00:44Z,102.20
2025-07-05T00:00:45Z,102.25
2025-07-05T00:00:46Z,102.30
2025-07-05T00:00:47Z,102.35
2025-07-05T00:00:48Z,102.40
2025-07-05T00:00:49Z,102.45
2025-07-05T00:00:50Z,102.50
2025-07-05T00:00:51Z,102.55
2025-07-05T00:00:52Z,102.60
2025-07-05T00:00:53Z,102.65
2025-07-05T00:00:54Z,102.70
2025-07-05T00:00:55Z,102.75
2025-07-05T00:00:56Z,102.80
2025-07-05T00:00:57Z,102.85
2025-07-05T00:00:58Z,102.90
2025-07-05T00:00:59Z,102.95
